城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
上海,创极速光轮,,0,319,216,上海·上海·上海迪士尼乐园,"121.667917,31.149712","可领取快速通行证。驾驶急速光轮,体验全球迪士尼乐园中速度最快的项目之在虚拟世界与生命赛跑,感受惊心动魄的急速飞驰吧。极速",FALSE,上海市浦东新区川沙镇迪士尼度假区明日世界内
上海,南京路步行街,,4.1,49.9,210,上海·上海·黄浦区,"121.474776,31.234851",火树银花不夜天，霓虹商业一条街,FALSE,上海市黄浦区
上海,上海海湾国家森林公园,4A,0,62.9,200,上海·上海·奉贤区,"121.692869,30.86719",魔都超大森林公园 | 户外玩乐清凉一夏,FALSE,上海市奉贤区海湾镇随塘河路1677号
上海,上海大世界,,3.5,50,194,上海·上海·黄浦区,"121.485885,31.233127",以游艺杂耍和南北戏曲、曲艺为其特色,FALSE,上海市黄浦区西藏南路1号
上海,上海大观园,4A,3.5,44.9,190,上海·上海·青浦区,"120.915048,31.080445",红楼遗梦，亭台楼阁，尽显恢弘宏伟,FALSE,上海市青浦区金商公路701号上海大观园
上海,加勒比海盗——沉落宝藏之战,,0,319,154,上海·上海·上海迪士尼乐园,"121.667917,31.149712","坐上海盗船与杰克船长一起寻找宝藏,影像效果逼真,引人入胜。加勒比海盗——沉落宝藏之战是宝藏湾里重量级的项目,讲述的是杰克",FALSE,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园内
上海,外滩观光隧道,,3.5,45,154,上海·上海·黄浦区,"121.497043,31.245469",具有迷幻色彩的魅力隧道,FALSE,上海市黄浦区中山东一路349号（陈毅广场向北70米）
上海,上海世茂精灵之城主题乐园（深坑秘境）,,0,62,146,上海·上海·松江区,"121.161496,31.063983",古老神秘的峡谷丛林，翱翔天际的上古异兽,FALSE,上海市松江区辰花路5898号
上海,上海世茂精灵之城主题乐园（蓝精灵乐园）,,0,146.69,134,上海·上海·上海世茂精灵之城主题乐园（深坑秘境）,"0.0,0.0",,FALSE,上海市松江区辰花路5088号
上海,东方明珠码头·黄浦江游船,,0,106,130,上海·上海·东方明珠,"121.503541,31.246287",江中观景，享受休闲旅游,FALSE,上海市浦东新区滨江大道2852号靠近丰和路口东方明珠游船码头
上海,朱家角古镇,4A,3.6,25,122,上海·上海·青浦区,"121.061605,31.116917",素有“上海威尼斯”及“沪郊好莱坞”之誉,FALSE,上海市青浦区朱家角镇美周路36号
上海,滨江森林公园,,3.5,20,122,上海·上海·浦东新区,"121.533982,31.389491",植被覆盖极高的森林公园 | 放风好去处,FALSE,上海市浦东新区最北端高桥镇三岔港
上海,上海长风海洋世界,4A,3.5,120,116,上海·上海·普陀区,"121.403563,31.230472",和奥莉一起看魔鬼鱼啦,FALSE,上海市普陀区大渡河路451号（长风公园4号门）
上海,古猗园,4A,3.5,10,108,上海·上海·嘉定区,"121.323438,31.298418",猗猗绿竹，幽静曲水，韵味隽永,FALSE,上海市嘉定区南翔镇沪宜路218号
上海,锦江乐园,4A,3.6,122.9,102,上海·上海·闵行区,"121.417416,31.146669",上海乐园鼻祖 | 国内首座巨型摩天轮,FALSE,上海市闵行区虹梅路201号
